"","PE_level","trialN","id_acc","trial_acc","session","SubNum","PE","scn_condition","exp"
"198","0.1",198,0,"Correct","ImmediateRec",1,0.265971799917839,"Strong","Experiment1"
"199","0.9",199,0,"Incorrect","ImmediateRec",1,0.795357813078605,"Strong","Experiment1"
"203","0.1",203,1,"Correct","ImmediateRec",1,0.248946345350184,"Strong","Experiment1"
"204","0.5",204,0,"Incorrect","ImmediateRec",1,0.69232359111462,"Flat","Experiment1"
"205","0.9",205,0,"Incorrect","ImmediateRec",1,0.962779971505019,"Strong","Experiment1"
"209","0.1",209,0,"Correct","ImmediateRec",1,0.260768866504949,"Strong","Experiment1"
"210","0.1",210,0,"Correct","ImmediateRec",1,0.234440099114119,"Strong","Experiment1"
"216","0.5",216,0,"Incorrect","ImmediateRec",1,0.678194538604952,"Flat","Experiment1"
"224","0.1",224,1,"Correct","ImmediateRec",1,0.185181599397818,"Strong","Experiment1"
"226","0.1",226,1,"Correct","ImmediateRec",1,0.191563269341388,"Strong","Experiment1"
"235","0.1",235,0,"Correct","ImmediateRec",1,0.167393273644652,"Strong","Experiment1"
"236","0.5",236,0,"Incorrect","ImmediateRec",1,0.683629216478111,"Flat","Experiment1"
"239","0.5",239,1,"Correct","ImmediateRec",1,0.662289758419285,"Flat","Experiment1"
"242","0.5",242,1,"Incorrect","ImmediateRec",1,0.649966092693221,"Flat","Experiment1"
"257","0.5",257,0,"Incorrect","ImmediateRec",1,0.706274790688182,"Flat","Experiment1"
"270","0.1",270,0,"Correct","ImmediateRec",1,0.135259213397672,"Strong","Experiment1"
"278","0.9",278,0,"Incorrect","ImmediateRec",1,0.92138623654965,"Strong","Experiment1"
"291","0.5",291,0,"Incorrect","ImmediateRec",1,0.683022662478744,"Flat","Experiment1"
"297","0.9",297,0,"Incorrect","ImmediateRec",1,0.896127890527948,"Strong","Experiment1"
"300","0.9",300,0,"Incorrect","ImmediateRec",1,0.898691094004931,"Strong","Experiment1"
"302","0.1",302,0,"Correct","ImmediateRec",1,0.267466840864641,"Strong","Experiment1"
"304","0.5",304,0,"Incorrect","ImmediateRec",1,0.693517431620809,"Flat","Experiment1"
"307","0.5",307,0,"Incorrect","ImmediateRec",1,0.674932129088844,"Flat","Experiment1"
"311","0.1",311,1,"Correct","ImmediateRec",1,0.218599318074709,"Strong","Experiment1"
"314","0.5",2,0,"Incorrect","ImmediateRec",2,0.424024366481989,"Flat","Experiment1"
"317","0.1",5,0,"Incorrect","ImmediateRec",2,0.00543609838386527,"Strong","Experiment1"
"328","0.5",16,1,"Correct","ImmediateRec",2,0.937308438221071,"Flat","Experiment1"
"331","0.5",19,1,"Correct","ImmediateRec",2,0.944347566547009,"Flat","Experiment1"
"333","0.5",21,1,"Incorrect","ImmediateRec",2,0.837743436034206,"Flat","Experiment1"
"335","0.1",23,1,"Correct","ImmediateRec",2,0.279940090257113,"Strong","Experiment1"
"336","0.9",24,1,"Incorrect","ImmediateRec",2,0.449115111036786,"Strong","Experiment1"
"338","0.5",26,1,"Incorrect","ImmediateRec",2,0.376274346175277,"Flat","Experiment1"
"345","0.9",33,1,"Correct","ImmediateRec",2,0.999087582997733,"Strong","Experiment1"
"349","0.5",37,1,"Incorrect","ImmediateRec",2,0.883192676316177,"Flat","Experiment1"
"358","0.1",46,1,"Incorrect","ImmediateRec",2,0.012104101967481,"Strong","Experiment1"
"366","0.9",54,0,"Incorrect","ImmediateRec",2,0.888446677493008,"Strong","Experiment1"
"367","0.1",55,0,"Incorrect","ImmediateRec",2,0.0029438219277288,"Strong","Experiment1"
"368","0.5",56,1,"Correct","ImmediateRec",2,0.945333318624606,"Flat","Experiment1"
"370","0.1",58,1,"Incorrect","ImmediateRec",2,0.000492614144846026,"Strong","Experiment1"
"374","0.5",62,1,"Incorrect","ImmediateRec",2,0.949133147078202,"Flat","Experiment1"
"383","0.1",71,0,"Correct","ImmediateRec",2,0.111180593166936,"Strong","Experiment1"
"384","0.5",72,1,"Incorrect","ImmediateRec",2,0.987789069022592,"Flat","Experiment1"
"387","0.9",75,1,"Incorrect","ImmediateRec",2,0.999998486263816,"Strong","Experiment1"
"389","0.9",77,0,"Correct","ImmediateRec",2,0.989923204500038,"Strong","Experiment1"
"391","0.9",79,1,"Incorrect","ImmediateRec",2,0.444626231033553,"Strong","Experiment1"
"395","0.9",83,1,"Incorrect","ImmediateRec",2,0.752585188671647,"Strong","Experiment1"
"398","0.5",86,1,"Correct","ImmediateRec",2,0.310974080840531,"Flat","Experiment1"
"400","0.9",88,0,"Incorrect","ImmediateRec",2,0.989014804390427,"Strong","Experiment1"
"401","0.9",89,0,"Incorrect","ImmediateRec",2,0.989930695738703,"Strong","Experiment1"
"404","0.5",92,0,"Incorrect","ImmediateRec",2,0.737375322288844,"Flat","Experiment1"
"409","0.1",97,1,"Correct","ImmediateRec",2,0.0255705158651318,"Strong","Experiment1"
"410","0.1",98,0,"Correct","ImmediateRec",2,0.249446848300918,"Strong","Experiment1"
"412","0.5",100,0,"Incorrect","ImmediateRec",2,0.865083034971866,"Flat","Experiment1"
"413","0.9",101,1,"Incorrect","ImmediateRec",2,0.998674441855306,"Strong","Experiment1"
"415","0.1",103,0,"Incorrect","ImmediateRec",2,0.694462469334387,"Strong","Experiment1"
"418","0.5",106,1,"Incorrect","ImmediateRec",2,0.874074955421608,"Flat","Experiment1"
"422","0.5",110,0,"Incorrect","ImmediateRec",2,0.392592729722111,"Flat","Experiment1"
"433","0.1",121,1,"Correct","ImmediateRec",2,0.014634308242115,"Strong","Experiment1"
"448","0.9",136,1,"Incorrect","ImmediateRec",2,0.989913880668289,"Strong","Experiment1"
"449","0.1",137,0,"Correct","ImmediateRec",2,0.00115026363204707,"Strong","Experiment1"
"458","0.5",146,1,"Incorrect","ImmediateRec",2,0.43898268616022,"Flat","Experiment1"
"460","0.5",148,0,"Correct","ImmediateRec",2,0.197170059605766,"Flat","Experiment1"
"461","0.5",149,0,"Incorrect","ImmediateRec",2,0.966478341854963,"Flat","Experiment1"
"464","0.1",152,1,"Correct","ImmediateRec",2,2.19634993336992e-06,"Strong","Experiment1"
"465","0.5",153,1,"Incorrect","ImmediateRec",2,0.989481863393638,"Flat","Experiment1"
"469","0.5",157,1,"Correct","ImmediateRec",2,0.725367650380545,"Flat","Experiment1"
"478","0.9",166,1,"Incorrect","ImmediateRec",2,0.999992372032771,"Strong","Experiment1"
"482","0.5",170,0,"Correct","ImmediateRec",2,0.194975156848679,"Flat","Experiment1"
"484","0.1",172,0,"Correct","ImmediateRec",2,0.115650287486535,"Strong","Experiment1"
"486","0.5",174,0,"Incorrect","ImmediateRec",2,0.855967814442404,"Flat","Experiment1"
"487","0.9",175,1,"Incorrect","ImmediateRec",2,0.999087577485821,"Strong","Experiment1"
"489","0.5",177,1,"Incorrect","ImmediateRec",2,0.995012980163268,"Flat","Experiment1"
"491","0.5",179,1,"Incorrect","ImmediateRec",2,0.337831895184218,"Flat","Experiment1"
"501","0.9",189,1,"Incorrect","ImmediateRec",2,0.999999999772947,"Strong","Experiment1"
"505","0.5",193,0,"Incorrect","ImmediateRec",2,0.151737954616938,"Flat","Experiment1"
"514","0.1",202,0,"Correct","ImmediateRec",2,0.115649431817486,"Strong","Experiment1"
"515","0.1",203,0,"Correct","ImmediateRec",2,0.0519442020920713,"Strong","Experiment1"
"516","0.9",204,1,"Incorrect","ImmediateRec",2,0.999983184680348,"Strong","Experiment1"
"517","0.5",205,1,"Correct","ImmediateRec",2,0.641006834266084,"Flat","Experiment1"
"520","0.5",208,1,"Incorrect","ImmediateRec",2,0.992936431720956,"Flat","Experiment1"
"525","0.9",213,1,"Incorrect","ImmediateRec",2,0.989930695757407,"Strong","Experiment1"
"532","0.9",220,1,"Incorrect","ImmediateRec",2,0.999086931889119,"Strong","Experiment1"
"535","0.5",223,1,"Correct","ImmediateRec",2,0.287909659548209,"Flat","Experiment1"
"542","0.5",230,0,"Incorrect","ImmediateRec",2,0.998490347499274,"Flat","Experiment1"
"546","0.5",234,1,"Incorrect","ImmediateRec",2,0.337385428538916,"Flat","Experiment1"
"547","0.5",235,1,"Incorrect","ImmediateRec",2,0.886386976560198,"Flat","Experiment1"
"554","0.1",242,0,"Correct","ImmediateRec",2,0.0519813640735796,"Strong","Experiment1"
"555","0.5",243,1,"Incorrect","ImmediateRec",2,0.99450886958504,"Flat","Experiment1"
"557","0.9",245,0,"Incorrect","ImmediateRec",2,0.999999863065705,"Strong","Experiment1"
"564","0.5",252,1,"Correct","ImmediateRec",2,0.992349217402926,"Flat","Experiment1"
"568","0.5",256,0,"Incorrect","ImmediateRec",2,0.87762136055706,"Flat","Experiment1"
"569","0.1",257,0,"Correct","ImmediateRec",2,0.00211554358017074,"Strong","Experiment1"
"570","0.5",258,0,"Incorrect","ImmediateRec",2,0.445715880178604,"Flat","Experiment1"
"575","0.1",263,1,"Correct","ImmediateRec",2,0.111164230936612,"Strong","Experiment1"
"578","0.9",266,1,"Correct","ImmediateRec",2,0.399239397418492,"Strong","Experiment1"
"579","0.5",267,1,"Incorrect","ImmediateRec",2,0.854342390569866,"Flat","Experiment1"
"583","0.1",271,1,"Incorrect","ImmediateRec",2,0.820864928205085,"Strong","Experiment1"
"584","0.9",272,0,"Incorrect","ImmediateRec",2,0.999999972374141,"Strong","Experiment1"
"585","0.1",273,1,"Correct","ImmediateRec",2,0.368693326468478,"Strong","Experiment1"
"589","0.1",277,0,"Correct","ImmediateRec",2,0.573273774395891,"Strong","Experiment1"
"593","0.1",281,0,"Incorrect","ImmediateRec",2,0.808339365302976,"Strong","Experiment1"
"596","0.1",284,1,"Correct","ImmediateRec",2,0.163072557047079,"Strong","Experiment1"
"600","0.9",288,1,"Incorrect","ImmediateRec",2,0.977581229176673,"Strong","Experiment1"
"605","0.1",293,1,"Incorrect","ImmediateRec",2,0.561527738137186,"Strong","Experiment1"
"610","0.9",298,1,"Incorrect","ImmediateRec",2,0.999962838724909,"Strong","Experiment1"
"614","0.9",302,1,"Incorrect","ImmediateRec",2,0.999999999954244,"Strong","Experiment1"
"615","0.9",303,0,"Incorrect","ImmediateRec",2,0.999944678092278,"Strong","Experiment1"
"622","0.5",310,1,"Incorrect","ImmediateRec",2,0.444210625534221,"Flat","Experiment1"
"629","0.1",5,0,"Correct","ImmediateRec",3,0.207015256256259,"Strong","Experiment1"
"630","0.9",6,0,"Incorrect","ImmediateRec",3,0.894858946618255,"Strong","Experiment1"
"634","0.9",10,0,"Incorrect","ImmediateRec",3,0.891674285397346,"Strong","Experiment1"
"635","0.9",11,1,"Correct","ImmediateRec",3,0.777706834064042,"Strong","Experiment1"
"645","0.9",21,0,"Incorrect","ImmediateRec",3,0.962222396820278,"Strong","Experiment1"
"648","0.1",24,0,"Correct","ImmediateRec",3,0.271804499051775,"Strong","Experiment1"
"650","0.5",26,0,"Incorrect","ImmediateRec",3,0.640906081543337,"Flat","Experiment1"
"655","0.9",31,1,"Incorrect","ImmediateRec",3,0.906668259725156,"Strong","Experiment1"
"656","0.5",32,1,"Incorrect","ImmediateRec",3,0.604419881052222,"Flat","Experiment1"
"663","0.5",39,0,"Correct","ImmediateRec",3,0.765144693050096,"Flat","Experiment1"
"664","0.9",40,0,"Incorrect","ImmediateRec",3,0.932081623556814,"Strong","Experiment1"
"666","0.9",42,0,"Incorrect","ImmediateRec",3,0.893337330286639,"Strong","Experiment1"
"667","0.5",43,0,"Incorrect","ImmediateRec",3,0.780581120894127,"Flat","Experiment1"
"668","0.9",44,0,"Incorrect","ImmediateRec",3,0.861189246029335,"Strong","Experiment1"
"671","0.5",47,0,"Incorrect","ImmediateRec",3,0.721609037962556,"Flat","Experiment1"
"673","0.5",49,0,"Correct","ImmediateRec",3,0.70732322579368,"Flat","Experiment1"
"675","0.5",51,0,"Incorrect","ImmediateRec",3,0.726381000617428,"Flat","Experiment1"
"676","0.5",52,0,"Incorrect","ImmediateRec",3,0.691401631218513,"Flat","Experiment1"
"678","0.5",54,1,"Incorrect","ImmediateRec",3,0.680378443535114,"Flat","Experiment1"
"681","0.1",57,0,"Correct","ImmediateRec",3,0.122473047932043,"Strong","Experiment1"
"686","0.1",62,1,"Incorrect","ImmediateRec",3,0.0931665195907255,"Strong","Experiment1"
"690","0.5",66,0,"Incorrect","ImmediateRec",3,0.754099121604783,"Flat","Experiment1"
"691","0.9",67,1,"Incorrect","ImmediateRec",3,0.872202693763005,"Strong","Experiment1"
"695","0.5",71,1,"Correct","ImmediateRec",3,0.795162224343211,"Flat","Experiment1"
"709","0.1",85,0,"Correct","ImmediateRec",3,0.309237802505183,"Strong","Experiment1"
"710","0.5",86,0,"Incorrect","ImmediateRec",3,0.645383820571122,"Flat","Experiment1"
"716","0.9",92,1,"Incorrect","ImmediateRec",3,0.931838382218426,"Strong","Experiment1"
"719","0.5",95,1,"Incorrect","ImmediateRec",3,0.664519138873881,"Flat","Experiment1"
"720","0.9",96,0,"Incorrect","ImmediateRec",3,0.985755121823432,"Strong","Experiment1"
"731","0.5",107,0,"Incorrect","ImmediateRec",3,0.688463963264369,"Flat","Experiment1"
"732","0.5",108,1,"Incorrect","ImmediateRec",3,0.686306901196471,"Flat","Experiment1"
"737","0.9",113,1,"Incorrect","ImmediateRec",3,0.929219895683224,"Strong","Experiment1"
"740","0.1",116,1,"Correct","ImmediateRec",3,0.118729951086116,"Strong","Experiment1"
"745","0.5",121,1,"Correct","ImmediateRec",3,0.722700110886774,"Flat","Experiment1"
"746","0.9",122,1,"Incorrect","ImmediateRec",3,0.97902444691032,"Strong","Experiment1"
"752","0.1",128,0,"Correct","ImmediateRec",3,0.157153663520662,"Strong","Experiment1"
"753","0.1",129,0,"Correct","ImmediateRec",3,0.226809159726913,"Strong","Experiment1"
"754","0.1",130,1,"Incorrect","ImmediateRec",3,0.137067402435808,"Strong","Experiment1"
"755","0.5",131,0,"Incorrect","ImmediateRec",3,0.699434321708641,"Flat","Experiment1"
"757","0.1",133,0,"Correct","ImmediateRec",3,0.231565849053005,"Strong","Experiment1"
"761","0.5",137,0,"Incorrect","ImmediateRec",3,0.677578352486572,"Flat","Experiment1"
"765","0.5",141,1,"Correct","ImmediateRec",3,0.659879825015769,"Flat","Experiment1"
"767","0.5",143,1,"Incorrect","ImmediateRec",3,0.852918105478083,"Flat","Experiment1"
"771","0.9",147,0,"Incorrect","ImmediateRec",3,0.917565503754683,"Strong","Experiment1"
"773","0.5",149,0,"Incorrect","ImmediateRec",3,0.79964310245553,"Flat","Experiment1"
"775","0.9",151,0,"Incorrect","ImmediateRec",3,0.951072859791814,"Strong","Experiment1"
"778","0.1",154,1,"Incorrect","ImmediateRec",3,0.259062862734201,"Strong","Experiment1"
"782","0.1",158,0,"Correct","ImmediateRec",3,0.134002593069237,"Strong","Experiment1"
"788","0.5",164,1,"Incorrect","ImmediateRec",3,0.641149737876093,"Flat","Experiment1"
"789","0.5",165,0,"Incorrect","ImmediateRec",3,0.643253762228207,"Flat","Experiment1"
"793","0.9",169,0,"Incorrect","ImmediateRec",3,0.867495266382667,"Strong","Experiment1"
"797","0.5",173,1,"Incorrect","ImmediateRec",3,0.859215272133639,"Flat","Experiment1"
"801","0.5",177,1,"Incorrect","ImmediateRec",3,0.615542136739362,"Flat","Experiment1"
"803","0.1",179,0,"Correct","ImmediateRec",3,0.0589890279827289,"Strong","Experiment1"
"805","0.5",181,0,"Incorrect","ImmediateRec",3,0.775787807435812,"Flat","Experiment1"
"810","0.1",186,1,"Correct","ImmediateRec",3,0.184267107046726,"Strong","Experiment1"
"811","0.9",187,0,"Incorrect","ImmediateRec",3,0.695253146098705,"Strong","Experiment1"
"812","0.9",188,0,"Incorrect","ImmediateRec",3,0.971296721881943,"Strong","Experiment1"
"816","0.9",192,0,"Incorrect","ImmediateRec",3,0.89858846335997,"Strong","Experiment1"
"821","0.5",197,0,"Correct","ImmediateRec",3,0.727633214745312,"Flat","Experiment1"
"822","0.1",198,0,"Correct","ImmediateRec",3,0.348460127996404,"Strong","Experiment1"
"823","0.9",199,0,"Incorrect","ImmediateRec",3,0.700577427467517,"Strong","Experiment1"
"827","0.1",203,1,"Correct","ImmediateRec",3,0.260675440495744,"Strong","Experiment1"
"828","0.5",204,0,"Incorrect","ImmediateRec",3,0.681550443089035,"Flat","Experiment1"
"829","0.9",205,1,"Incorrect","ImmediateRec",3,0.997729300873687,"Strong","Experiment1"
"833","0.1",209,0,"Correct","ImmediateRec",3,0.284430154062247,"Strong","Experiment1"
"834","0.1",210,1,"Correct","ImmediateRec",3,0.288933529790337,"Strong","Experiment1"
"840","0.5",216,1,"Correct","ImmediateRec",3,0.724716554787172,"Flat","Experiment1"
"848","0.1",224,0,"Correct","ImmediateRec",3,0.1465072035713,"Strong","Experiment1"
"850","0.1",226,1,"Correct","ImmediateRec",3,0.16720013929036,"Strong","Experiment1"
"859","0.1",235,0,"Incorrect","ImmediateRec",3,0.111449551408908,"Strong","Experiment1"
"860","0.5",236,1,"Incorrect","ImmediateRec",3,0.626197838062046,"Flat","Experiment1"
"863","0.5",239,1,"Correct","ImmediateRec",3,0.679112282304782,"Flat","Experiment1"
"866","0.5",242,1,"Correct","ImmediateRec",3,0.546161693919396,"Flat","Experiment1"
"881","0.5",257,1,"Incorrect","ImmediateRec",3,0.730918002239754,"Flat","Experiment1"
"894","0.1",270,1,"Correct","ImmediateRec",3,0.0480730176372653,"Strong","Experiment1"
"902","0.9",278,0,"Incorrect","ImmediateRec",3,0.891699408879987,"Strong","Experiment1"
"915","0.5",291,0,"Incorrect","ImmediateRec",3,0.718299393835157,"Flat","Experiment1"
"921","0.9",297,1,"Incorrect","ImmediateRec",3,0.862654525654373,"Strong","Experiment1"
"924","0.9",300,1,"Incorrect","ImmediateRec",3,0.871376006162826,"Strong","Experiment1"
"926","0.1",302,0,"Correct","ImmediateRec",3,0.328577423206127,"Strong","Experiment1"
"928","0.5",304,1,"Correct","ImmediateRec",3,0.699120084688424,"Flat","Experiment1"
"931","0.5",307,1,"Incorrect","ImmediateRec",3,0.681866967806005,"Flat","Experiment1"
"935","0.1",311,1,"Correct","ImmediateRec",3,0.242631738440922,"Strong","Experiment1"
"941","0.1",5,1,"Correct","ImmediateRec",4,0.172805991788165,"Strong","Experiment1"
"942","0.9",6,0,"Incorrect","ImmediateRec",4,0.906383612389156,"Strong","Experiment1"
"946","0.9",10,1,"Incorrect","ImmediateRec",4,0.893870619186758,"Strong","Experiment1"
"947","0.9",11,0,"Correct","ImmediateRec",4,0.737899144809393,"Strong","Experiment1"
"957","0.9",21,0,"Incorrect","ImmediateRec",4,0.981269438524535,"Strong","Experiment1"
"960","0.1",24,0,"Correct","ImmediateRec",4,0.286528806647955,"Strong","Experiment1"
"962","0.5",26,0,"Incorrect","ImmediateRec",4,0.632226430197373,"Flat","Experiment1"
"967","0.9",31,0,"Incorrect","ImmediateRec",4,0.925046302826069,"Strong","Experiment1"
"968","0.5",32,1,"Incorrect","ImmediateRec",4,0.585915771263952,"Flat","Experiment1"
"975","0.5",39,1,"Incorrect","ImmediateRec",4,0.793323167260126,"Flat","Experiment1"
"976","0.9",40,1,"Incorrect","ImmediateRec",4,0.947034459100487,"Strong","Experiment1"
"978","0.9",42,0,"Incorrect","ImmediateRec",4,0.893140906286096,"Strong","Experiment1"
"979","0.5",43,0,"Incorrect","ImmediateRec",4,0.814630886754104,"Flat","Experiment1"
"980","0.9",44,1,"Incorrect","ImmediateRec",4,0.867031052412253,"Strong","Experiment1"
"983","0.5",47,1,"Correct","ImmediateRec",4,0.729633874919326,"Flat","Experiment1"
"985","0.5",49,0,"Incorrect","ImmediateRec",4,0.729487555458158,"Flat","Experiment1"
"987","0.5",51,0,"Incorrect","ImmediateRec",4,0.760222247457846,"Flat","Experiment1"
"988","0.5",52,0,"Correct","ImmediateRec",4,0.701544469925178,"Flat","Experiment1"
"990","0.5",54,1,"Incorrect","ImmediateRec",4,0.692556194775267,"Flat","Experiment1"
"993","0.1",57,1,"Incorrect","ImmediateRec",4,0.0856038258565307,"Strong","Experiment1"
"998","0.1",62,0,"Correct","ImmediateRec",4,0.0583361634341486,"Strong","Experiment1"
"1002","0.5",66,1,"Incorrect","ImmediateRec",4,0.77628211295178,"Flat","Experiment1"
"1003","0.9",67,0,"Incorrect","ImmediateRec",4,0.878001411050677,"Strong","Experiment1"
"1007","0.5",71,0,"Correct","ImmediateRec",4,0.829386205500951,"Flat","Experiment1"
"1021","0.1",85,0,"Incorrect","ImmediateRec",4,0.321463137579046,"Strong","Experiment1"
"1022","0.5",86,1,"Incorrect","ImmediateRec",4,0.646444027839524,"Flat","Experiment1"
"1028","0.9",92,0,"Incorrect","ImmediateRec",4,0.932205255665513,"Strong","Experiment1"
"1031","0.5",95,1,"Incorrect","ImmediateRec",4,0.674197035019968,"Flat","Experiment1"
"1032","0.9",96,0,"Incorrect","ImmediateRec",4,0.994561826848285,"Strong","Experiment1"
"1043","0.5",107,1,"Correct","ImmediateRec",4,0.706890369137198,"Flat","Experiment1"
"1044","0.5",108,1,"Correct","ImmediateRec",4,0.679943813830673,"Flat","Experiment1"
"1049","0.9",113,0,"Incorrect","ImmediateRec",4,0.931385734503425,"Strong","Experiment1"
"1052","0.1",116,1,"Correct","ImmediateRec",4,0.0839822663142576,"Strong","Experiment1"
"1057","0.5",121,1,"Incorrect","ImmediateRec",4,0.741574170890558,"Flat","Experiment1"
"1058","0.9",122,0,"Incorrect","ImmediateRec",4,0.98985062564958,"Strong","Experiment1"
"1064","0.1",128,1,"Correct","ImmediateRec",4,0.151104937358055,"Strong","Experiment1"
"1065","0.1",129,0,"Correct","ImmediateRec",4,0.226924662365913,"Strong","Experiment1"
"1066","0.1",130,1,"Incorrect","ImmediateRec",4,0.124738638522909,"Strong","Experiment1"
"1067","0.5",131,1,"Incorrect","ImmediateRec",4,0.703697662460272,"Flat","Experiment1"
"1069","0.1",133,1,"Correct","ImmediateRec",4,0.236299935904373,"Strong","Experiment1"
"1073","0.5",137,1,"Incorrect","ImmediateRec",4,0.679848150111644,"Flat","Experiment1"
