"","participant","trial_index","trial_cond","scn_file","scn_cat","scn_inst","scn_condition","obj_cat","obj_cat_num","obj_file","quadrant","corr_ans","key_resp_trial.keys","key_resp_trial.rt","trial_acc","iteration_index","trial_acc_manual","group"
"11",33,1,0.3,"stim/31.jpeg",3,1,2,"Instruments",1,"stim/objects/Instruments/triangle.png",2,"left","right",0.823000193,0,1,0,1
"12",33,2,0.1,"stim/53.jpeg",5,3,3,"Instruments",1,"stim/objects/Instruments/tambourine2.png",4,"left","right",1.071000338,0,1,0,1
"13",33,3,0.7,"stim/33.jpeg",3,3,2,"HouseObjects",2,"stim/objects/HouseObjects/thermometer.png",4,"right","left",1.121000051,0,1,0,1
"14",33,4,0.5,"stim/23.jpeg",2,3,1,"Instruments",1,"stim/objects/Instruments/tambourine.png",1,"left","right",1.111000299,0,1,0,1
"15",33,5,0.7,"stim/34.jpeg",3,4,2,"HouseObjects",2,"stim/objects/HouseObjects/thread.png",3,"right","left",1.699000359,0,1,0,1
"16",33,6,0.7,"stim/31.jpeg",3,1,2,"HouseObjects",2,"stim/objects/HouseObjects/spraybottle.png",3,"right","right",1.337000132,1,1,1,1
"17",33,7,0.9,"stim/62.jpeg",6,2,3,"Instruments",1,"stim/objects/Instruments/trombone2.png",1,"left","right",1.321000338,0,1,0,1
"18",33,8,0.9,"stim/54.jpeg",5,4,3,"HouseObjects",2,"stim/objects/HouseObjects/sponge2.png",1,"right","",NA,0,1,0,1
"19",33,9,0.7,"stim/44.jpeg",4,4,2,"Instruments",1,"stim/objects/Instruments/record_player2.png",1,"left","left",0.984000206,1,1,1,1
"20",33,10,0.9,"stim/64.jpeg",6,4,3,"Instruments",1,"stim/objects/Instruments/tuba2.png",1,"left","left",1.576000214,1,1,1,1
"21",33,11,0.5,"stim/12.jpeg",1,2,1,"HouseObjects",2,"stim/objects/HouseObjects/remote.png",2,"right","left",0.997000217,0,1,0,1
"22",33,12,0.7,"stim/33.jpeg",3,3,2,"HouseObjects",2,"stim/objects/HouseObjects/thermometer.png",1,"right","right",0.929000378,1,1,1,1
"23",33,13,0.5,"stim/12.jpeg",1,2,1,"Instruments",1,"stim/objects/Instruments/pipepiano.png",3,"left","right",1.379000187,0,1,0,1
"24",33,14,0.5,"stim/23.jpeg",2,3,1,"Instruments",1,"stim/objects/Instruments/tambourine.png",4,"left","left",1.088000298,1,1,1,1
"25",33,15,0.7,"stim/44.jpeg",4,4,2,"Instruments",1,"stim/objects/Instruments/record_player2.png",3,"left","left",0.918000221,1,1,1,1
"26",33,16,0.7,"stim/42.jpeg",4,2,2,"Instruments",1,"stim/objects/Instruments/pipepiano2.png",1,"left","left",0.971000195,1,1,1,1
"27",33,17,0.3,"stim/32.jpeg",3,2,2,"Instruments",1,"stim/objects/Instruments/trombone.png",3,"left","right",0.948000193,0,1,0,1
"28",33,18,0.5,"stim/11.jpeg",1,1,1,"Instruments",1,"stim/objects/Instruments/panflute.png",4,"left","",NA,0,1,0,1
"29",33,19,0.5,"stim/11.jpeg",1,1,1,"Instruments",1,"stim/objects/Instruments/panflute.png",2,"left","left",1.048000336,1,1,1,1
"30",33,20,0.3,"stim/41.jpeg",4,1,2,"HouseObjects",2,"stim/objects/HouseObjects/recyclingbin2.png",4,"right","left",1.033000231,0,1,0,1
"31",33,21,0.9,"stim/51.jpeg",5,1,3,"HouseObjects",2,"stim/objects/HouseObjects/safetypin2.png",4,"right","right",0.890000105,1,1,1,1
"32",33,22,0.5,"stim/11.jpeg",1,1,1,"Instruments",1,"stim/objects/Instruments/panflute.png",1,"left","left",1.368000269,1,1,1,1
"33",33,23,0.7,"stim/43.jpeg",4,3,2,"Instruments",1,"stim/objects/Instruments/record2.png",1,"left","left",0.72900033,1,1,1,1
"34",33,24,0.5,"stim/21.jpeg",2,1,1,"HouseObjects",2,"stim/objects/HouseObjects/safetypin.png",4,"right","right",0.856000185,1,1,1,1
"35",33,25,0.5,"stim/22.jpeg",2,2,1,"HouseObjects",2,"stim/objects/HouseObjects/saw.png",3,"right","right",0.640000105,1,1,1,1
"36",33,26,0.5,"stim/11.jpeg",1,1,1,"Instruments",1,"stim/objects/Instruments/panflute.png",2,"left","right",1.095000267,0,1,0,1
"37",33,27,0.5,"stim/13.jpeg",1,3,1,"HouseObjects",2,"stim/objects/HouseObjects/rubbergloves.png",3,"right","left",1.162000179,0,1,0,1
"38",33,28,0.7,"stim/31.jpeg",3,1,2,"HouseObjects",2,"stim/objects/HouseObjects/spraybottle.png",4,"right","right",1.127000093,1,1,1,1
"39",33,29,0.5,"stim/13.jpeg",1,3,1,"Instruments",1,"stim/objects/Instruments/record.png",3,"left","right",1.019000053,0,1,0,1
"40",33,30,0.7,"stim/41.jpeg",4,1,2,"Instruments",1,"stim/objects/Instruments/panflute2.png",2,"left","left",0.868000269,1,1,1,1
"41",33,31,0.9,"stim/61.jpeg",6,1,3,"Instruments",1,"stim/objects/Instruments/triangle2.png",2,"left","right",1.008000135,0,1,0,1
"42",33,32,0.7,"stim/41.jpeg",4,1,2,"Instruments",1,"stim/objects/Instruments/panflute2.png",1,"left","left",0.721000195,1,1,1,1
"43",33,33,0.1,"stim/61.jpeg",6,1,3,"HouseObjects",2,"stim/objects/HouseObjects/spraybottle2.png",2,"right","left",0.749000072,0,1,0,1
"44",33,34,0.9,"stim/62.jpeg",6,2,3,"Instruments",1,"stim/objects/Instruments/trombone2.png",1,"left","right",1.005000353,0,1,0,1
"45",33,35,0.9,"stim/52.jpeg",5,2,3,"HouseObjects",2,"stim/objects/HouseObjects/saw2.png",1,"right","left",1.017000198,0,1,0,1
"46",33,36,0.3,"stim/41.jpeg",4,1,2,"HouseObjects",2,"stim/objects/HouseObjects/recyclingbin2.png",4,"right","right",1.039000273,1,1,1,1
"47",33,37,0.9,"stim/51.jpeg",5,1,3,"HouseObjects",2,"stim/objects/HouseObjects/safetypin2.png",1,"right","right",0.974000216,1,1,1,1
"48",33,38,0.9,"stim/62.jpeg",6,2,3,"Instruments",1,"stim/objects/Instruments/trombone2.png",4,"left","left",0.722000122,1,1,1,1
"49",33,39,0.5,"stim/24.jpeg",2,4,1,"HouseObjects",2,"stim/objects/HouseObjects/sponge.png",1,"right","right",0.747000217,1,1,1,1
"50",33,40,0.9,"stim/52.jpeg",5,2,3,"HouseObjects",2,"stim/objects/HouseObjects/saw2.png",3,"right","left",0.831000328,0,1,0,1
"51",33,41,0.5,"stim/12.jpeg",1,2,1,"Instruments",1,"stim/objects/Instruments/pipepiano.png",4,"left","left",1.368000269,1,1,1,1
"52",33,42,0.3,"stim/42.jpeg",4,2,2,"HouseObjects",2,"stim/objects/HouseObjects/remote2.png",3,"right","left",0.750000238,0,1,0,1
"53",33,43,0.5,"stim/24.jpeg",2,4,1,"HouseObjects",2,"stim/objects/HouseObjects/sponge.png",2,"right","right",0.739000082,1,1,1,1
"54",33,44,0.9,"stim/61.jpeg",6,1,3,"Instruments",1,"stim/objects/Instruments/triangle2.png",3,"left","left",1.815000296,1,1,1,1
"55",33,45,0.5,"stim/14.jpeg",1,4,1,"Instruments",1,"stim/objects/Instruments/record_player.png",1,"left","left",1.588999987,1,1,1,1
"56",33,46,0.5,"stim/11.jpeg",1,1,1,"HouseObjects",2,"stim/objects/HouseObjects/recyclingbin.png",1,"right","right",0.969000101,1,1,1,1
"57",33,47,0.7,"stim/42.jpeg",4,2,2,"Instruments",1,"stim/objects/Instruments/pipepiano2.png",3,"left","left",0.806000233,1,1,1,1
"58",33,48,0.5,"stim/11.jpeg",1,1,1,"HouseObjects",2,"stim/objects/HouseObjects/recyclingbin.png",2,"right","left",0.864000082,0,1,0,1
"59",33,49,0.7,"stim/44.jpeg",4,4,2,"Instruments",1,"stim/objects/Instruments/record_player2.png",2,"left","right",1.069000244,0,1,0,1
"60",33,50,0.7,"stim/31.jpeg",3,1,2,"HouseObjects",2,"stim/objects/HouseObjects/spraybottle.png",2,"right","right",1.033000231,1,1,1,1
"61",33,51,0.7,"stim/34.jpeg",3,4,2,"HouseObjects",2,"stim/objects/HouseObjects/thread.png",3,"right","right",0.625,1,1,1,1
"62",33,52,0.9,"stim/61.jpeg",6,1,3,"Instruments",1,"stim/objects/Instruments/triangle2.png",4,"left","left",0.829000235,1,1,1,1
"63",33,53,0.7,"stim/32.jpeg",3,2,2,"HouseObjects",2,"stim/objects/HouseObjects/teapot.png",4,"right","right",1.479000092,1,1,1,1
"64",33,54,0.9,"stim/54.jpeg",5,4,3,"HouseObjects",2,"stim/objects/HouseObjects/sponge2.png",3,"right","right",1.111999989,1,1,1,1
"65",33,55,0.5,"stim/12.jpeg",1,2,1,"Instruments",1,"stim/objects/Instruments/pipepiano.png",1,"left","left",1.525000095,1,1,1,1
"66",33,56,0.5,"stim/22.jpeg",2,2,1,"Instruments",1,"stim/objects/Instruments/speaker.png",4,"left","right",0.865000248,0,1,0,1
"67",33,57,0.9,"stim/53.jpeg",5,3,3,"HouseObjects",2,"stim/objects/HouseObjects/scale2.png",1,"right","left",0.809000015,0,1,0,1
"68",33,58,0.7,"stim/41.jpeg",4,1,2,"Instruments",1,"stim/objects/Instruments/panflute2.png",1,"left","left",0.709000111,1,1,1,1
"69",33,59,0.5,"stim/21.jpeg",2,1,1,"Instruments",1,"stim/objects/Instruments/saxophone.png",3,"left","right",0.713000059,0,1,0,1
"70",33,60,0.5,"stim/13.jpeg",1,3,1,"Instruments",1,"stim/objects/Instruments/record.png",2,"left","left",0.812000275,1,1,1,1
