"","X","participant","trial_index","trial_cond","scn_file","scn_cat","scn_inst","scn_condition","fillers","obj_cat","obj_cat_num","obj_file","quadrant","corr_ans","key_resp_trial.keys","key_resp_trial.rt","trial_acc","trial_acc_manual","group"
"1",1,1,1,0.9,"stim/14.jpeg",1,4,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/glass2.png",3,"right","",NA,0,0,1
"2",2,1,2,0.9,"stim/23.jpeg",2,3,3,NA,"Instruments",1,"stim/objects/Instruments/harp2.png",2,"left","left",0.572000265,1,1,1
"3",3,1,3,0.5,"stim/42.jpeg",4,2,1,NA,"Instruments",1,"stim/objects/Instruments/frenchhorn.png",3,"left","right",0.754000187,0,0,1
"4",4,1,4,0.7,"stim/53.jpeg",5,3,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/handbrush.png",3,"right","right",0.608999968,1,1,1
"5",5,1,5,0.9,"stim/12.jpeg",1,2,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/flyswatter2.png",4,"right","",NA,0,0,1
"6",6,1,6,0.7,"stim/62.jpeg",6,2,2,NA,"Instruments",1,"stim/objects/Instruments/electricdrumset2.png",4,"left","",NA,0,0,1
"7",7,1,7,0.5,"stim/43.jpeg",4,3,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/garbagebin.png",2,"right","left",0.669000149,0,0,1
"8",8,1,8,0.9,"stim/22.jpeg",2,2,3,NA,"Instruments",1,"stim/objects/Instruments/harmonica2.png",2,"left","left",0.657000065,1,1,1
"9",9,1,9,0.5,"stim/43.jpeg",4,3,1,NA,"Instruments",1,"stim/objects/Instruments/gong.png",4,"left","right",0.861999989,0,0,1
"10",10,1,10,0.7,"stim/54.jpeg",5,4,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/handvacuum.png",1,"right","right",0.546000004,1,1,1
"11",11,1,11,0.9,"stim/13.jpeg",1,3,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/garbagebin2.png",2,"right","",NA,0,0,1
"12",12,1,12,0.9,"stim/11.jpeg",1,1,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/dustpan2.png",4,"right","right",0.552000284,1,1,1
"13",13,1,13,0.5,"stim/34.jpeg",3,4,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/doormat.png",1,"right","left",0.679000139,0,0,1
"14",14,1,14,0.5,"stim/42.jpeg",4,2,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/flyswatter.png",4,"right","left",0.851999998,0,0,1
"15",15,1,15,0.9,"stim/21.jpeg",2,1,3,NA,"Instruments",1,"stim/objects/Instruments/guitarcase2.png",3,"left","left",0.568000078,1,1,1
"16",16,1,16,0.5,"stim/44.jpeg",4,4,1,NA,"Instruments",1,"stim/objects/Instruments/grandpiano.png",4,"left","left",0.769000053,1,1,1
"17",17,1,17,0.9,"stim/21.jpeg",2,1,3,NA,"Instruments",1,"stim/objects/Instruments/guitarcase2.png",4,"left","left",0.607000113,1,1,1
"18",18,1,18,0.5,"stim/31.jpeg",3,1,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/coffee.png",4,"right","",NA,0,0,1
"19",19,1,19,0.5,"stim/44.jpeg",4,4,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/glass.png",4,"right","right",0.720999956,1,1,1
"20",20,1,20,0.5,"stim/41.jpeg",4,1,1,NA,"Instruments",1,"stim/objects/Instruments/flutetrans.png",3,"left","left",0.741000175,1,1,1
"21",21,1,21,0.5,"stim/32.jpeg",3,2,1,NA,"Instruments",1,"stim/objects/Instruments/electricdrumset.png",2,"left","left",0.611999989,1,1,1
