"","participant","trial_index","trial_cond","scn_file","scn_cat","scn_inst","scn_condition","fillers","obj_cat","obj_cat_num","obj_file","quadrant","corr_ans","key_resp_trial.keys","key_resp_trial.rt","trial_acc","trial_acc_manual","group"
"1",18,1,0.5,"stim/11.jpeg",1,1,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/recyclingbin.png",2,"right","",NA,0,0,1
"2",18,2,0.3,"stim/41.jpeg",4,1,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/recyclingbin2.png",4,"right","",NA,0,0,1
"3",18,3,0.1,"stim/62.jpeg",6,2,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/teapot2.png",1,"right","left",0.737999916,0,0,1
"4",18,4,0.5,"stim/11.jpeg",1,1,1,NA,"Instruments",1,"stim/objects/Instruments/panflute.png",4,"left","",NA,0,0,1
"5",18,5,0.3,"stim/42.jpeg",4,2,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/remote2.png",3,"right","left",0.802000046,0,0,1
"6",18,6,0.9,"stim/63.jpeg",6,3,3,NA,"Instruments",1,"stim/objects/Instruments/trumpet2.png",3,"left","left",0.635999918,1,1,1
"7",18,7,0.9,"stim/64.jpeg",6,4,3,NA,"Instruments",1,"stim/objects/Instruments/tuba2.png",3,"left","left",0.675000191,1,1,1
"8",18,8,0.5,"stim/22.jpeg",2,2,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/saw.png",1,"right","",NA,0,0,1
"9",18,9,0.5,"stim/12.jpeg",1,2,1,NA,"Instruments",1,"stim/objects/Instruments/pipepiano.png",2,"left","",NA,0,0,1
"10",18,10,0.3,"stim/31.jpeg",3,1,2,NA,"Instruments",1,"stim/objects/Instruments/triangle.png",2,"left","left",0.786999941,1,1,1
"11",18,11,0.9,"stim/63.jpeg",6,3,3,NA,"Instruments",1,"stim/objects/Instruments/trumpet2.png",2,"left","left",0.613000154,1,1,1
"12",18,12,0.7,"stim/33.jpeg",3,3,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/thermometer.png",4,"right","right",0.773999929,1,1,1
"13",18,13,0.5,"stim/21.jpeg",2,1,1,NA,"Instruments",1,"stim/objects/Instruments/saxophone.png",4,"left","",NA,0,0,1
"14",18,14,0.7,"stim/42.jpeg",4,2,2,NA,"Instruments",1,"stim/objects/Instruments/pipepiano2.png",2,"left","left",0.770999908,1,1,1
"15",18,15,0.5,"stim/11.jpeg",1,1,1,NA,"Instruments",1,"stim/objects/Instruments/panflute.png",1,"left","right",0.741999865,0,0,1
"16",18,16,0.5,"stim/23.jpeg",2,3,1,NA,"Instruments",1,"stim/objects/Instruments/tambourine.png",1,"left","",NA,0,0,1
"17",18,17,0.9,"stim/64.jpeg",6,4,3,NA,"Instruments",1,"stim/objects/Instruments/tuba2.png",3,"left","left",0.582000017,1,1,1
"18",18,18,0.5,"stim/13.jpeg",1,3,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/rubbergloves.png",3,"right","right",0.738999844,1,1,1
"19",18,19,0.7,"stim/32.jpeg",3,2,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/teapot.png",1,"right","right",0.667999983,1,1,1
"20",18,20,0.7,"stim/43.jpeg",4,3,2,NA,"Instruments",1,"stim/objects/Instruments/record2.png",4,"left","left",0.726000071,1,1,1
"21",18,21,0.5,"stim/24.jpeg",2,4,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/sponge.png",1,"right","right",0.756999969,1,1,1
"22",18,22,0.9,"stim/63.jpeg",6,3,3,NA,"Instruments",1,"stim/objects/Instruments/trumpet2.png",2,"left","left",0.608999968,1,1,1
"23",18,23,0.7,"stim/33.jpeg",3,3,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/thermometer.png",2,"right","right",0.749000072,1,1,1
"24",18,24,0.5,"stim/22.jpeg",2,2,1,NA,"Instruments",1,"stim/objects/Instruments/speaker.png",1,"left","right",0.687000036,0,0,1
"25",18,25,0.9,"stim/62.jpeg",6,2,3,NA,"Instruments",1,"stim/objects/Instruments/trombone2.png",1,"left","left",0.611999989,1,1,1
"26",18,26,0.9,"stim/62.jpeg",6,2,3,NA,"Instruments",1,"stim/objects/Instruments/trombone2.png",1,"left","left",0.588000059,1,1,1
"27",18,27,0.9,"stim/53.jpeg",5,3,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/scale2.png",1,"right","right",0.646999836,1,1,1
"28",18,28,0.3,"stim/31.jpeg",3,1,2,NA,"Instruments",1,"stim/objects/Instruments/triangle.png",3,"left","",NA,0,0,1
"29",18,29,0.5,"stim/22.jpeg",2,2,1,NA,"Instruments",1,"stim/objects/Instruments/speaker.png",4,"left","right",0.647000074,0,0,1
"30",18,30,0.7,"stim/41.jpeg",4,1,2,NA,"Instruments",1,"stim/objects/Instruments/panflute2.png",2,"left","left",0.689999819,1,1,1
"31",18,31,0.9,"stim/61.jpeg",6,1,3,NA,"Instruments",1,"stim/objects/Instruments/triangle2.png",3,"left","left",0.612999916,1,1,1
"32",18,32,0.7,"stim/41.jpeg",4,1,2,NA,"Instruments",1,"stim/objects/Instruments/panflute2.png",1,"left","left",0.655999899,1,1,1
"33",18,33,0.5,"stim/23.jpeg",2,3,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/scale.png",1,"right","right",0.574999809,1,1,1
"34",18,34,0.3,"stim/44.jpeg",4,4,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/rug2.png",2,"right","left",0.639999866,0,0,1
"35",18,35,0.1,"stim/63.jpeg",6,3,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/thermometer2.png",4,"right","left",0.509000063,0,0,1
"36",18,36,0.1,"stim/61.jpeg",6,1,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/spraybottle2.png",2,"right","left",0.618000031,0,0,1
"37",18,37,0.7,"stim/43.jpeg",4,3,2,NA,"Instruments",1,"stim/objects/Instruments/record2.png",1,"left","left",0.648999929,1,1,1
"38",18,38,0.7,"stim/44.jpeg",4,4,2,NA,"Instruments",1,"stim/objects/Instruments/record_player2.png",3,"left","",NA,0,0,1
"39",18,39,0.7,"stim/33.jpeg",3,3,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/thermometer.png",4,"right","left",0.545000076,0,0,1
"40",18,40,0.5,"stim/13.jpeg",1,3,1,NA,"Instruments",1,"stim/objects/Instruments/record.png",1,"left","",NA,0,0,1
"41",18,41,0.7,"stim/33.jpeg",3,3,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/thermometer.png",1,"right","right",0.609999895,1,1,1
"42",18,42,0.9,"stim/53.jpeg",5,3,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/scale2.png",1,"right","right",0.522000074,1,1,1
"43",18,43,0.9,"stim/64.jpeg",6,4,3,NA,"Instruments",1,"stim/objects/Instruments/tuba2.png",4,"left","left",0.588999987,1,1,1
"44",18,44,0.5,"stim/24.jpeg",2,4,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/sponge.png",2,"right","right",0.648000002,1,1,1
"45",18,45,0.5,"stim/13.jpeg",1,3,1,NA,"HouseObjects",2,"stim/objects/HouseObjects/rubbergloves.png",4,"right","left",0.704999924,0,0,1
"46",18,46,0.1,"stim/53.jpeg",5,3,3,NA,"Instruments",1,"stim/objects/Instruments/tambourine2.png",4,"left","right",0.630000114,0,0,1
"47",18,47,0.9,"stim/54.jpeg",5,4,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/sponge2.png",3,"right","right",0.61500001,1,1,1
"48",18,48,0.7,"stim/32.jpeg",3,2,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/teapot.png",4,"right","right",0.733999968,1,1,1
"49",18,49,0.9,"stim/53.jpeg",5,3,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/scale2.png",2,"right","right",0.492999792,1,1,1
"50",18,50,0.9,"stim/54.jpeg",5,4,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/sponge2.png",2,"right","right",0.620000124,1,1,1
"51",18,51,0.9,"stim/54.jpeg",5,4,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/sponge2.png",4,"right","right",0.701999903,1,1,1
"52",18,52,0.5,"stim/21.jpeg",2,1,1,NA,"Instruments",1,"stim/objects/Instruments/saxophone.png",3,"left","right",0.796999931,0,0,1
"53",18,53,0.9,"stim/52.jpeg",5,2,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/saw2.png",2,"right","right",0.510999918,1,1,1
"54",18,54,0.7,"stim/34.jpeg",3,4,2,NA,"HouseObjects",2,"stim/objects/HouseObjects/thread.png",4,"right","",NA,0,0,1
"55",18,55,0.3,"stim/32.jpeg",3,2,2,NA,"Instruments",1,"stim/objects/Instruments/trombone.png",3,"left","right",0.64199996,0,0,1
"56",18,56,0.9,"stim/61.jpeg",6,1,3,NA,"Instruments",1,"stim/objects/Instruments/triangle2.png",2,"left","left",0.556999922,1,1,1
"57",18,57,0.7,"stim/44.jpeg",4,4,2,NA,"Instruments",1,"stim/objects/Instruments/record_player2.png",1,"left","right",0.740999937,0,0,1
"58",18,58,0.5,"stim/12.jpeg",1,2,1,NA,"Instruments",1,"stim/objects/Instruments/pipepiano.png",4,"left","right",0.712999821,0,0,1
"59",18,59,0.9,"stim/51.jpeg",5,1,3,NA,"HouseObjects",2,"stim/objects/HouseObjects/safetypin2.png",1,"right","right",0.54399991,1,1,1
